freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.113e+02,7.521e+01,3.726e+01,9.238e+02
1.5,5.623e+02,8.333e+01,6.512e+01,7.107e+02
3.0,8.976e+01,5.425e+01,5.190e+01,1.959e+02
4.5,3.323e+02,4.609e+01,5.235e+01,4.308e+02
6.0,1.112e+03,5.403e+01,4.985e+01,1.216e+03
7.5,1.889e+03,4.845e+01,5.232e+01,1.990e+03
9.0,2.711e+03,5.204e+01,6.138e+01,2.824e+03
10.5,3.712e+03,5.808e+01,6.218e+01,3.832e+03
12.0,4.840e+03,5.545e+01,5.935e+01,4.954e+03
13.5,6.334e+03,4.850e+01,6.127e+01,6.444e+03
14.9,8.328e+03,4.747e+01,8.311e+01,8.458e+03
16.4,9.437e+03,5.337e+01,1.117e+02,9.602e+03
17.9,1.117e+04,5.861e+01,8.156e+01,1.131e+04
19.4,1.441e+04,5.325e+01,7.625e+01,1.454e+04
20.9,1.826e+04,5.072e+01,1.040e+02,1.842e+04
22.4,2.274e+04,5.335e+01,2.198e+02,2.301e+04
23.9,2.704e+04,6.669e+01,4.893e+02,2.759e+04
25.4,3.133e+04,1.099e+02,7.818e+02,3.223e+04
26.9,3.511e+04,1.517e+02,9.349e+02,3.620e+04
28.4,3.496e+04,1.767e+02,9.873e+02,3.612e+04
29.9,3.150e+04,1.836e+02,9.445e+02,3.263e+04
31.4,2.945e+04,2.067e+02,8.043e+02,3.046e+04
32.9,3.076e+04,2.353e+02,6.246e+02,3.162e+04
34.4,3.540e+04,3.064e+02,5.284e+02,3.624e+04
35.9,4.317e+04,4.211e+02,4.816e+02,4.407e+04
37.4,5.164e+04,5.610e+02,4.856e+02,5.269e+04
38.9,6.137e+04,7.454e+02,5.503e+02,6.266e+04
40.4,7.262e+04,9.753e+02,5.983e+02,7.420e+04
41.9,8.740e+04,1.346e+03,6.961e+02,8.944e+04
43.4,1.031e+05,2.010e+03,8.840e+02,1.060e+05
44.8,1.197e+05,3.139e+03,1.112e+03,1.239e+05
46.3,1.420e+05,4.515e+03,1.694e+03,1.482e+05
47.8,1.667e+05,5.241e+03,2.075e+03,1.741e+05
49.3,1.957e+05,5.334e+03,2.121e+03,2.032e+05
50.8,2.360e+05,6.282e+03,2.664e+03,2.449e+05
52.3,2.949e+05,8.389e+03,4.038e+03,3.073e+05
53.8,3.614e+05,1.041e+04,5.737e+03,3.776e+05
55.3,4.413e+05,1.250e+04,8.099e+03,4.619e+05
56.8,5.312e+05,1.587e+04,1.158e+04,5.586e+05
58.3,6.321e+05,1.883e+04,1.565e+04,6.665e+05
59.8,8.020e+05,2.613e+04,2.690e+04,8.550e+05
61.3,9.889e+05,3.479e+04,3.865e+04,1.062e+06
62.8,1.173e+06,3.854e+04,5.422e+04,1.266e+06
64.3,1.372e+06,3.189e+04,6.385e+04,1.468e+06
65.8,1.757e+06,2.152e+04,6.522e+04,1.844e+06
67.3,2.273e+06,1.564e+04,6.555e+04,2.354e+06
68.8,2.970e+06,1.769e+04,6.682e+04,3.054e+06
70.3,3.230e+06,2.249e+04,6.157e+04,3.314e+06
71.8,3.116e+06,2.828e+04,5.405e+04,3.198e+06
73.2,2.829e+06,3.421e+04,4.679e+04,2.910e+06
74.7,2.333e+06,3.470e+04,4.087e+04,2.408e+06
76.2,1.887e+06,3.617e+04,3.496e+04,1.958e+06
77.7,1.587e+06,3.639e+04,3.092e+04,1.654e+06
79.2,1.391e+06,3.428e+04,2.907e+04,1.455e+06
80.7,1.179e+06,3.339e+04,2.708e+04,1.240e+06
82.2,9.862e+05,3.687e+04,2.273e+04,1.046e+06
83.7,8.551e+05,4.303e+04,1.857e+04,9.167e+05
85.2,7.541e+05,4.649e+04,1.809e+04,8.187e+05
86.7,6.874e+05,5.016e+04,1.874e+04,7.563e+05
88.2,6.579e+05,5.612e+04,1.981e+04,7.338e+05
89.7,6.778e+05,6.748e+04,2.001e+04,7.653e+05
91.2,7.248e+05,8.154e+04,2.056e+04,8.269e+05
92.7,8.215e+05,9.729e+04,2.359e+04,9.424e+05
94.2,9.387e+05,1.148e+05,2.708e+04,1.081e+06
95.7,1.012e+06,1.315e+05,2.960e+04,1.173e+06
97.2,1.044e+06,1.474e+05,3.215e+04,1.223e+06
98.7,1.054e+06,1.625e+05,3.509e+04,1.251e+06
100.2,1.055e+06,1.790e+05,3.730e+04,1.272e+06
101.7,1.052e+06,1.999e+05,3.824e+04,1.290e+06
103.1,1.007e+06,2.122e+05,4.012e+04,1.260e+06
104.6,8.529e+05,2.000e+05,4.379e+04,1.097e+06
106.1,7.775e+05,1.974e+05,4.668e+04,1.022e+06
107.6,8.581e+05,2.123e+05,5.017e+04,1.121e+06
109.1,9.299e+05,2.262e+05,5.290e+04,1.209e+06
110.6,9.760e+05,2.466e+05,5.396e+04,1.277e+06
112.1,9.586e+05,2.571e+05,5.785e+04,1.274e+06
113.6,7.522e+05,2.396e+05,5.943e+04,1.051e+06
115.1,3.119e+05,1.478e+05,4.692e+04,5.066e+05
116.6,4.498e+04,7.203e+04,3.516e+04,1.522e+05
118.1,1.849e+04,7.668e+04,3.086e+04,1.260e+05
119.6,1.816e+04,8.809e+04,2.706e+04,1.333e+05
121.1,1.940e+04,8.648e+04,2.484e+04,1.307e+05
122.6,2.219e+04,7.526e+04,2.177e+04,1.192e+05
124.1,1.962e+04,7.289e+04,1.841e+04,1.109e+05
125.6,2.115e+04,7.780e+04,1.546e+04,1.144e+05
127.1,2.840e+04,8.125e+04,1.328e+04,1.229e+05
128.6,2.604e+04,8.362e+04,1.151e+04,1.212e+05
130.1,2.483e+04,8.333e+04,1.006e+04,1.182e+05
131.5,2.707e+04,8.026e+04,9.231e+03,1.166e+05
133.0,2.178e+04,4.553e+04,4.669e+03,7.198e+04
134.5,1.304e+04,1.446e+04,9.433e+02,2.845e+04
136.0,7.112e+03,1.203e+04,6.360e+02,1.978e+04
137.5,7.351e+03,1.394e+04,5.771e+02,2.186e+04
139.0,1.372e+04,2.008e+04,4.481e+02,3.424e+04
140.5,1.313e+04,2.535e+04,3.928e+02,3.888e+04
142.0,5.559e+03,2.681e+04,4.204e+02,3.279e+04
143.5,5.195e+03,2.184e+04,3.738e+02,2.740e+04
145.0,7.329e+03,1.894e+04,4.038e+02,2.667e+04
146.5,7.097e+03,1.665e+04,5.268e+02,2.428e+04
148.0,1.094e+04,1.914e+04,6.183e+02,3.070e+04
149.5,8.517e+03,2.091e+04,6.940e+02,3.012e+04
151.0,5.550e+03,1.998e+04,7.162e+02,2.625e+04
152.5,4.543e+03,1.841e+04,7.242e+02,2.368e+04
154.0,4.617e+03,1.699e+04,7.117e+02,2.232e+04
155.5,4.994e+03,1.625e+04,8.566e+02,2.210e+04
157.0,4.860e+03,1.682e+04,1.012e+03,2.269e+04
158.5,3.663e+03,1.755e+04,6.560e+02,2.187e+04
160.0,2.566e+03,1.916e+04,5.363e+02,2.226e+04
161.4,2.203e+03,2.131e+04,5.514e+02,2.407e+04
162.9,1.851e+03,2.314e+04,6.438e+02,2.563e+04
164.4,1.535e+03,2.372e+04,8.818e+02,2.614e+04
165.9,1.474e+03,2.180e+04,9.380e+02,2.421e+04
167.4,1.515e+03,2.274e+04,9.393e+02,2.519e+04
168.9,1.673e+03,2.809e+04,1.120e+03,3.088e+04
170.4,1.680e+03,3.461e+04,1.335e+03,3.763e+04
171.9,1.621e+03,4.222e+04,1.663e+03,4.550e+04
173.4,1.756e+03,4.864e+04,1.892e+03,5.229e+04
174.9,1.991e+03,5.472e+04,1.909e+03,5.862e+04
176.4,2.613e+03,6.048e+04,1.970e+03,6.506e+04
177.9,3.568e+03,6.531e+04,2.045e+03,7.092e+04
179.4,4.511e+03,8.493e+04,2.516e+03,9.196e+04
180.9,5.144e+03,9.175e+04,2.587e+03,9.949e+04
182.4,6.059e+03,7.813e+04,2.138e+03,8.632e+04
183.9,7.026e+03,6.957e+04,1.822e+03,7.841e+04
185.4,7.541e+03,6.570e+04,1.547e+03,7.478e+04
186.9,8.444e+03,6.442e+04,1.356e+03,7.422e+04
188.4,9.184e+03,6.533e+04,1.336e+03,7.585e+04
189.8,8.787e+03,7.080e+04,1.533e+03,8.112e+04
191.3,7.789e+03,7.966e+04,1.863e+03,8.931e+04
192.8,7.662e+03,8.948e+04,2.313e+03,9.945e+04
194.3,8.002e+03,9.959e+04,2.730e+03,1.103e+05
195.8,7.863e+03,1.106e+05,3.167e+03,1.216e+05
197.3,8.076e+03,1.252e+05,3.749e+03,1.370e+05
198.8,8.445e+03,1.422e+05,4.536e+03,1.552e+05
