freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.252e+01,1.092e+02,2.478e+02,3.996e+02
1.5,4.850e+01,7.605e+01,1.641e+02,2.886e+02
3.0,3.251e+01,2.300e+01,3.916e+01,9.466e+01
4.5,3.714e+01,2.182e+01,2.813e+02,3.403e+02
6.0,3.454e+01,2.173e+01,1.150e+03,1.207e+03
7.5,3.576e+01,2.261e+01,2.036e+03,2.095e+03
9.0,3.570e+01,2.229e+01,3.018e+03,3.076e+03
10.5,4.565e+01,2.519e+01,4.033e+03,4.104e+03
12.0,6.071e+01,2.602e+01,4.915e+03,5.002e+03
13.5,6.575e+01,2.545e+01,6.728e+03,6.819e+03
14.9,1.516e+02,2.505e+01,9.182e+03,9.358e+03
16.4,2.757e+02,2.456e+01,1.113e+04,1.143e+04
17.9,1.289e+02,2.219e+01,1.455e+04,1.470e+04
19.4,1.901e+02,2.177e+01,2.048e+04,2.069e+04
20.9,7.606e+02,2.567e+01,2.737e+04,2.816e+04
22.4,2.002e+03,2.619e+01,3.050e+04,3.253e+04
23.9,3.752e+03,2.721e+01,2.825e+04,3.203e+04
25.4,5.085e+03,3.445e+01,2.452e+04,2.964e+04
26.9,4.906e+03,3.590e+01,2.425e+04,2.920e+04
28.4,3.647e+03,7.753e+01,2.629e+04,3.001e+04
29.9,1.663e+03,1.604e+02,2.670e+04,2.853e+04
31.4,3.506e+02,3.154e+02,2.760e+04,2.826e+04
32.9,2.452e+02,5.577e+02,3.167e+04,3.247e+04
34.4,7.221e+02,9.364e+02,3.966e+04,4.132e+04
35.9,1.794e+03,1.732e+03,5.295e+04,5.647e+04
37.4,3.918e+03,3.752e+03,7.717e+04,8.484e+04
38.9,6.613e+03,6.733e+03,9.838e+04,1.117e+05
40.4,8.566e+03,1.168e+04,1.112e+05,1.314e+05
41.9,1.159e+04,2.207e+04,1.534e+05,1.871e+05
43.4,1.538e+04,2.407e+04,1.697e+05,2.091e+05
44.8,2.086e+04,1.686e+04,1.525e+05,1.903e+05
46.3,2.348e+04,1.571e+04,1.558e+05,1.950e+05
47.8,2.540e+04,1.718e+04,1.705e+05,2.131e+05
49.3,2.887e+04,1.819e+04,1.899e+05,2.369e+05
50.8,4.568e+04,2.858e+04,2.357e+05,3.099e+05
52.3,6.572e+04,6.042e+04,2.893e+05,4.155e+05
53.8,5.845e+04,9.573e+04,2.794e+05,4.335e+05
55.3,4.155e+04,1.088e+05,2.307e+05,3.810e+05
56.8,4.724e+04,1.152e+05,1.983e+05,3.608e+05
58.3,5.543e+04,1.239e+05,1.757e+05,3.550e+05
59.8,6.168e+04,1.324e+05,1.617e+05,3.558e+05
61.3,7.708e+04,1.430e+05,1.520e+05,3.721e+05
62.8,8.104e+04,1.508e+05,1.279e+05,3.597e+05
64.3,6.375e+04,1.543e+05,9.713e+04,3.152e+05
65.8,5.071e+04,1.580e+05,6.907e+04,2.778e+05
67.3,6.321e+04,1.645e+05,5.262e+04,2.803e+05
68.8,6.988e+04,1.674e+05,3.994e+04,2.772e+05
70.3,7.327e+04,1.693e+05,2.822e+04,2.708e+05
71.8,6.457e+04,1.739e+05,2.017e+04,2.586e+05
73.3,4.074e+04,1.955e+05,2.248e+04,2.587e+05
74.7,2.864e+04,2.451e+05,7.676e+04,3.505e+05
76.2,2.434e+04,2.942e+05,2.028e+05,5.214e+05
77.7,2.399e+04,3.330e+05,3.557e+05,7.127e+05
79.2,3.044e+04,3.679e+05,5.098e+05,9.081e+05
80.7,3.049e+04,3.539e+05,5.649e+05,9.492e+05
82.2,2.512e+04,3.090e+05,5.157e+05,8.499e+05
83.7,2.179e+04,2.500e+05,4.907e+05,7.624e+05
85.2,1.824e+04,1.960e+05,4.885e+05,7.028e+05
86.7,1.420e+04,1.713e+05,4.625e+05,6.480e+05
88.2,1.115e+04,1.780e+05,4.145e+05,6.036e+05
89.7,1.172e+04,2.102e+05,3.512e+05,5.732e+05
91.2,2.306e+04,2.477e+05,2.967e+05,5.675e+05
92.7,2.614e+04,2.464e+05,2.608e+05,5.334e+05
94.2,2.363e+04,2.280e+05,2.340e+05,4.857e+05
95.7,1.964e+04,2.056e+05,2.174e+05,4.426e+05
97.2,1.705e+04,1.817e+05,2.057e+05,4.044e+05
98.7,1.690e+04,1.611e+05,1.950e+05,3.731e+05
100.2,2.145e+04,1.467e+05,1.864e+05,3.546e+05
101.7,3.393e+04,1.399e+05,1.806e+05,3.544e+05
103.1,4.311e+04,1.329e+05,1.708e+05,3.469e+05
104.6,4.060e+04,1.117e+05,1.466e+05,2.990e+05
106.1,4.223e+04,9.700e+04,1.360e+05,2.753e+05
107.6,4.406e+04,9.233e+04,1.403e+05,2.767e+05
109.1,4.123e+04,8.847e+04,1.395e+05,2.692e+05
110.6,3.636e+04,8.236e+04,1.326e+05,2.513e+05
112.1,2.838e+04,6.947e+04,1.233e+05,2.211e+05
113.6,2.421e+04,5.960e+04,1.187e+05,2.025e+05
115.1,2.398e+04,5.419e+04,1.170e+05,1.952e+05
116.6,2.166e+04,4.874e+04,1.143e+05,1.847e+05
118.1,2.015e+04,4.234e+04,1.105e+05,1.730e+05
119.6,1.712e+04,3.676e+04,1.096e+05,1.635e+05
121.1,1.570e+04,3.439e+04,1.207e+05,1.708e+05
122.6,1.759e+04,3.716e+04,1.264e+05,1.811e+05
124.1,1.792e+04,4.354e+04,1.080e+05,1.695e+05
125.6,1.668e+04,4.518e+04,9.669e+04,1.585e+05
127.1,1.474e+04,4.572e+04,9.461e+04,1.551e+05
128.6,1.523e+04,4.714e+04,9.542e+04,1.578e+05
130.1,1.603e+04,4.485e+04,9.735e+04,1.582e+05
131.6,1.561e+04,3.886e+04,9.712e+04,1.516e+05
133.0,1.046e+04,2.980e+04,5.710e+04,9.737e+04
134.5,5.533e+03,1.859e+04,1.691e+04,4.103e+04
136.0,2.778e+03,9.129e+03,9.183e+03,2.109e+04
137.5,1.696e+03,6.804e+03,7.446e+03,1.595e+04
139.0,1.694e+03,7.267e+03,6.894e+03,1.585e+04
140.5,1.457e+03,8.229e+03,6.580e+03,1.627e+04
142.0,1.288e+03,7.696e+03,5.852e+03,1.484e+04
143.5,1.422e+03,7.169e+03,6.197e+03,1.479e+04
